암종,주요 증상,위험도
폐암,"만성 기침, 객혈(피 섞인 가래), 호흡곤란, 흉부 압박감, 가슴 통증, 목소리 변화",⭐⭐⭐
위암,"소화불량, 속 쓰림, 구토, 복부 팽만감, 체중 감소, 식사 후 복통",⭐⭐⭐
대장암,"배변 습관 변화, 혈변, 복부 팽만감, 체중 감소, 흑색 변, 지속적인 변비",⭐⭐⭐
유방암,"유방 멍울, 유두 분비(혈성), 유방 피부 변화(발적, 주름짐), 유두 함몰",⭐⭐⭐
난소암,"복부 팽만감, 골반 통증, 소화불량, 배변 습관 변화, 체중 증가",⭐⭐⭐
전립선암,"배뇨 곤란, 소변 줄기 약화, 야간 빈뇨, 하복부 압박감",⭐⭐⭐
자궁경부암,"질 출혈, 골반 통증, 배뇨 문제, 생리 불순, 비정상적 질 분비물",⭐⭐⭐
자궁내막암,"폐경 후 질 출혈, 극심한 생리통, 하복부 통증",⭐⭐⭐
간암,"황달(눈 흰자 및 피부 노란색), 복부 팽만감, 식욕 부진, 체중 감소, 우측 상복부 통증",⭐⭐⭐
췌장암,"체중 감소, 등 통증, 지방변, 당뇨 증상, 소화 장애",⭐⭐⭐
갑상선암,"목에 혹, 목소리 변화, 삼킴 곤란, 목 주변 통증, 체중 증가",⭐⭐
방광암,"혈뇨, 배뇨 곤란, 방광 통증, 빈뇨",⭐⭐⭐
신장암,"혈뇨, 옆구리 통증, 체중 감소",⭐⭐⭐
림프종,"림프절 종대(목, 겨드랑이, 사타구니), 야간 발한, 체중 감소, 발열, 피로감",⭐⭐⭐
뇌종양,"지속적인 두통, 시야 흐림, 균형 감각 이상, 기억력 저하, 신체 한쪽 약화",⭐⭐⭐
백혈병,"쉽게 멍이 듦, 지속적인 피로감, 잦은 감염, 잦은 코피, 잇몸 출혈 지속",⭐⭐⭐
피부암(흑색종),"피부 검붉은 반점, 점 크기 변화, 출혈성 병변",⭐⭐⭐
후두암,"목소리 변화, 삼킴 곤란, 지속적인 목 통증",⭐⭐⭐
비강암,"잦은 코막힘, 코 출혈, 만성 부비동염",⭐⭐
구강암,"구강 내 궤양, 입술 점막 변화, 잇몸 출혈 지속",⭐⭐
다발성 골수종,"지속적인 뼈 통증, 빈혈, 감염 증가",⭐⭐⭐
부신암,"혈압 변화, 피부색 변화(어두워짐), 발한 증가",⭐⭐